index of response,response,mean,std
0,difcoMB,0.9230769230769231,0.05439282932204216
1,HMBcmpt,0.7846153846153846,0.11409536133993331
2,HMBpep,0.7384615384615385,0.12871692715908856
3,HMBaa,0.7692307692307692,0.1087856586440843
4,HMBlips,0.5846153846153845,0.13973770865065346
5,HMBoligo,0.6615384615384615,0.08770580193070297
6,HMBorg,0.5692307692307692,0.15951108733329017
7,HMBntrl,0.7538461538461538,0.12639751327042298
8,HMBamisug,0.8461538461538461,0.0769230769230769
9,HMBacdsug,0.8153846153846154,0.04213250442347429
10,HMB--,0.6923076923076923,0.05439282932204215
